telecast_id,program_id,program_name,episode_id,network,air_date,air_time_et,duration_min,stream,avg_audience_k,household_rating
T-000013,MEC,Mecha Builders,MEC-204,PBS,2026-07-03,10:30,30,live_sd,247,0.21
T-000019,BEA,Bea's Block,BEA-105,PBS KIDS,2026-07-03,15:30,15,live_sd,144,0.12
T-000038,BEA,Bea's Block,BEA-107,PBS KIDS,2026-07-06,07:00,15,live_sd,154,0.13
T-000032,MEC,Mecha Builders,MEC-201,PBS KIDS,2026-07-06,08:00,30,live_sd,147,0.12
T-000024,SST,Sesame Street,SST-5616,PBS KIDS,2026-07-06,09:00,60,live_sd,412,0.34
T-000031,SST,Sesame Street,SST-5616,PBS KIDS,2026-07-06,10:30,60,live_sd,535,0.45
T-000043,ESM,Esme & Roy,ESM-304,PBS KIDS,2026-07-06,16:00,30,live_sd,129,0.11
T-000033,MEC,Mecha Builders,MEC-202,PBS KIDS,2026-07-07,07:30,30,live_sd,244,0.2
T-000025,SST,Sesame Street,SST-5605,PBS KIDS,2026-07-07,08:00,60,live_sd,460,0.38
T-000044,ESM,Esme & Roy,ESM-302,PBS,2026-07-07,08:00,30,live_sd,131,0.11
T-000039,BEA,Bea's Block,BEA-104,PBS,2026-07-07,15:30,15,live_sd,114,0.1
T-000040,BEA,Bea's Block,BEA-104,PBS KIDS,2026-07-08,08:00,15,live_sd,149,0.12
T-000045,ESM,Esme & Roy,ESM-301,PBS KIDS,2026-07-08,08:00,30,live_sd,135,0.11
T-000026,SST,Sesame Street,SST-5608,PBS KIDS,2026-07-08,10:30,60,live_sd,325,0.27
T-000034,MEC,Mecha Builders,MEC-209,PBS KIDS,2026-07-08,16:00,30,live_sd,141,0.12
T-000041,BEA,Bea's Block,BEA-102,PBS KIDS,2026-07-09,07:00,15,live_sd,175,0.15
T-000035,MEC,Mecha Builders,MEC-203,PBS KIDS,2026-07-09,10:30,30,live_sd,128,0.11
T-000027,SST,Sesame Street,SST-5608,PBS KIDS,2026-07-09,13:00,60,live_sd,598,0.5
T-000046,ESM,Esme & Roy,ESM-301,PBS KIDS,2026-07-09,16:00,30,live_sd,113,0.09
T-000028,SST,Sesame Street,SST-5609,PBS,2026-07-10,08:00,60,live_sd,298,0.25
T-000036,MEC,Mecha Builders,MEC-203,PBS KIDS,2026-07-10,08:00,30,live_sd,276,0.23
T-000042,BEA,Bea's Block,BEA-104,PBS,2026-07-10,15:30,15,live_sd,112,0.09
T-000037,MEC,Mecha Builders,MEC-206,PBS KIDS,2026-07-11,13:00,30,live_sd,180,0.15
T-000029,SST,Sesame Street,SST-5611,PBS KIDS,2026-07-11,15:30,60,live_sd,381,0.32
T-000030,SST,Sesame Street,SST-5613,PBS KIDS,2026-07-12,07:00,60,live_sd,375,0.31
