telecast_id,program_id,program_name,episode_id,network,air_date,air_time_et,duration_min,stream,avg_audience_k,household_rating
T-000011,MEC,Mecha Builders,MEC-207,PBS KIDS,2026-07-01,15:30,30,live_7,244,0.2
T-000038,BEA,Bea's Block,BEA-107,PBS KIDS,2026-07-06,07:00,15,live_7,158,0.13
T-000032,MEC,Mecha Builders,MEC-201,PBS KIDS,2026-07-06,08:00,30,live_7,156,0.13
T-000024,SST,Sesame Street,SST-5616,PBS KIDS,2026-07-06,09:00,60,live_7,404,0.34
T-000031,SST,Sesame Street,SST-5616,PBS KIDS,2026-07-06,10:30,60,live_7,587,0.49
T-000043,ESM,Esme & Roy,ESM-304,PBS KIDS,2026-07-06,16:00,30,live_7,152,0.13
T-000033,MEC,Mecha Builders,MEC-202,PBS KIDS,2026-07-07,07:30,30,live_7,254,0.21
T-000025,SST,Sesame Street,SST-5605,PBS KIDS,2026-07-07,08:00,60,live_7,476,0.4
T-000044,ESM,Esme & Roy,ESM-302,PBS,2026-07-07,08:00,30,live_7,162,0.14
T-000039,BEA,Bea's Block,BEA-104,PBS,2026-07-07,15:30,15,live_7,133,0.11
T-000040,BEA,Bea's Block,BEA-104,PBS KIDS,2026-07-08,08:00,15,live_7,177,0.15
T-000045,ESM,Esme & Roy,ESM-301,PBS KIDS,2026-07-08,08:00,30,live_7,157,0.13
T-000026,SST,Sesame Street,SST-5608,PBS KIDS,2026-07-08,10:30,60,live_7,320,0.27
T-000034,MEC,Mecha Builders,MEC-209,PBS KIDS,2026-07-08,16:00,30,live_7,164,0.14
T-000041,BEA,Bea's Block,BEA-102,PBS KIDS,2026-07-09,07:00,15,live_7,195,0.16
T-000035,MEC,Mecha Builders,MEC-203,PBS KIDS,2026-07-09,10:30,30,live_7,128,0.11
T-000027,SST,Sesame Street,SST-5608,PBS KIDS,2026-07-09,13:00,60,live_7,687,0.57
T-000046,ESM,Esme & Roy,ESM-301,PBS KIDS,2026-07-09,16:00,30,live_7,139,0.12
T-000028,SST,Sesame Street,SST-5609,PBS,2026-07-10,08:00,60,live_7,342,0.28
T-000036,MEC,Mecha Builders,MEC-203,PBS KIDS,2026-07-10,08:00,30,live_7,338,0.28
T-000042,BEA,Bea's Block,BEA-104,PBS,2026-07-10,15:30,15,live_7,130,0.11
T-000037,MEC,Mecha Builders,MEC-206,PBS KIDS,2026-07-11,13:00,30,live_7,192,0.16
T-000029,SST,Sesame Street,SST-5611,PBS KIDS,2026-07-11,15:30,60,live_7,439,0.37
T-000030,SST,Sesame Street,SST-5613,PBS KIDS,2026-07-12,07:00,60,live_7,422,0.35
T-000054,MEC,Mecha Builders,MEC-210,PBS KIDS,2026-07-13,07:00,30,live_sd,278,0.23
T-000070,SST,Sesame Street,SST-5608,PBS KIDS,2026-07-20,13:00,60,live_sd,388,0.32
T-000084,BEA,Bea's Block,BEA-105,PBS KIDS,2026-07-20,13:00,15,live_sd,197,0.16
T-000089,ESM,Esme & Roy,ESM-304,PBS KIDS,2026-07-20,13:00,30,live_sd,81,0.07
T-000077,SST,Sesame Street,SST-5615,PBS,2026-07-20,16:00,60,live_sd,403,0.34
T-000078,MEC,Mecha Builders,MEC-207,PBS,2026-07-20,16:00,30,live_sd,164,0.14
T-000071,SST,Sesame Street,SST-5603,PBS,2026-07-21,10:30,60,live_sd,253,0.21
T-000079,MEC,Mecha Builders,MEC-204,PBS KIDS,2026-07-21,10:30,30,live_sd,232,0.19
T-000085,BEA,Bea's Block,BEA-101,PBS,2026-07-21,10:30,15,live_sd,185,0.15
T-000090,ESM,Esme & Roy,ESM-301,PBS KIDS,2026-07-21,13:00,30,live_sd,119,0.1
T-000072,SST,Sesame Street,SST-5609,PBS,2026-07-22,07:30,60,live_sd,563,0.47
T-000086,BEA,Bea's Block,BEA-104,PBS KIDS,2026-07-22,08:00,15,live_sd,115,0.1
T-000091,ESM,Esme & Roy,ESM-305,PBS KIDS,2026-07-22,10:30,30,live_sd,84,0.07
T-000080,MEC,Mecha Builders,MEC-206,PBS KIDS,2026-07-22,13:00,30,live_sd,204,0.17
T-000073,SST,Sesame Street,SST-5611,PBS KIDS,2026-07-23,09:00,60,live_sd,563,0.47
T-000087,BEA,Bea's Block,BEA-105,PBS KIDS,2026-07-23,10:30,15,live_sd,133,0.11
T-000092,ESM,Esme & Roy,ESM-304,PBS,2026-07-23,15:30,30,live_sd,78,0.07
T-000081,MEC,Mecha Builders,MEC-209,PBS KIDS,2026-07-23,16:00,30,live_sd,238,0.2
T-000074,SST,Sesame Street,SST-5605,PBS KIDS,2026-07-24,07:00,60,live_sd,397,0.33
T-000082,MEC,Mecha Builders,MEC-202,PBS KIDS,2026-07-24,13:00,30,live_sd,230,0.19
T-000088,BEA,Bea's Block,BEA-104,PBS,2026-07-24,13:00,15,live_sd,149,0.12
T-000083,MEC,Mecha Builders,MEC-209,PBS,2026-07-25,08:00,30,live_sd,230,0.19
T-000075,SST,Sesame Street,SST-5608,PBS KIDS,2026-07-25,16:00,60,live_sd,503,0.42
T-000076,SST,Sesame Street,SST-5614,PBS,2026-07-26,07:00,60,live_sd,589,0.49
