telecast_id,program_id,program_name,episode_id,network,air_date,air_time_et,duration_min,stream,avg_audience_k,household_rating
T-000009,MEC,Mecha Builders,MEC-203,PBS KIDS,2026-06-29,07:30,30,live_sd,213,0.18
T-000008,SST,Sesame Street,SST-5616,PBS KIDS,2026-06-29,08:00,60,live_sd,511,0.43
T-000015,BEA,Bea's Block,BEA-103,PBS KIDS,2026-06-29,08:00,15,live_sd,142,0.12
T-000020,ESM,Esme & Roy,ESM-301,PBS KIDS,2026-06-29,08:00,30,live_sd,100,0.08
T-000001,SST,Sesame Street,SST-5614,PBS KIDS,2026-06-29,13:00,60,live_sd,402,0.34
T-000002,SST,Sesame Street,SST-5604,PBS,2026-06-30,07:00,60,live_sd,509,0.42
T-000021,ESM,Esme & Roy,ESM-303,PBS KIDS,2026-06-30,07:00,30,live_sd,92,0.08
T-000016,BEA,Bea's Block,BEA-104,PBS KIDS,2026-06-30,07:30,15,live_sd,98,0.08
T-000010,MEC,Mecha Builders,MEC-203,PBS KIDS,2026-06-30,09:00,30,live_sd,252,0.21
T-000017,BEA,Bea's Block,BEA-105,PBS,2026-07-01,07:30,15,live_sd,116,0.1
T-000022,ESM,Esme & Roy,ESM-304,PBS KIDS,2026-07-01,10:30,30,live_sd,131,0.11
T-000011,MEC,Mecha Builders,MEC-207,PBS KIDS,2026-07-01,15:30,30,live_sd,229,0.19
T-000003,SST,Sesame Street,SST-5614,PBS,2026-07-01,16:00,60,live_sd,577,0.48
T-000018,BEA,Bea's Block,BEA-103,PBS,2026-07-02,08:00,15,live_sd,165,0.14
T-000004,SST,Sesame Street,SST-5606,PBS KIDS,2026-07-02,10:30,60,live_sd,555,0.46
T-000012,MEC,Mecha Builders,MEC-203,PBS,2026-07-02,10:30,30,live_sd,242,0.2
T-000023,ESM,Esme & Roy,ESM-303,PBS KIDS,2026-07-02,16:00,30,live_sd,107,0.09
T-000013,MEC,Mecha Builders,MEC-204,PBS,2026-07-03,10:30,30,live_sd,216,0.18
T-000019,BEA,Bea's Block,BEA-105,PBS KIDS,2026-07-03,15:30,15,live_sd,135,0.11
T-000005,SST,Sesame Street,SST-5606,PBS KIDS,2026-07-03,16:00,60,live_sd,299,0.25
T-000006,SST,Sesame Street,SST-5612,PBS KIDS,2026-07-04,07:00,60,live_sd,335,0.28
T-000014,MEC,Mecha Builders,MEC-204,PBS KIDS,2026-07-04,15:30,30,live_sd,207,0.17
T-000007,SST,Sesame Street,SST-5610,PBS KIDS,2026-07-05,07:00,60,live_sd,312,0.26
